ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
920284.BJ,2015-08-18,3.32,3.32,3.32,3.32,,,,10.0,11.8
920284.BJ,2015-08-27,4.25,4.25,4.25,4.25,3.32,0.9300000000000002,28.01,10.0,15.11
920284.BJ,2016-01-08,0.28,0.28,0.28,0.28,4.25,-3.9699999999999998,-93.41,10945.0,1094.5
920284.BJ,2016-01-12,0.28,0.28,0.28,0.28,0.28,0.0,0.0,550.0,55.0
920284.BJ,2016-01-19,0.28,0.28,0.28,0.28,0.28,0.0,0.0,510.0,51.0
920284.BJ,2016-01-20,0.28,0.28,0.28,0.28,0.28,0.0,0.0,500.0,50.0
920284.BJ,2016-01-21,0.28,0.28,0.28,0.28,0.28,0.0,0.0,2000.0,200.0
920284.BJ,2016-01-25,0.28,0.28,0.28,0.28,0.28,0.0,0.0,1000.0,100.0
920284.BJ,2016-01-26,0.28,0.28,0.28,0.28,0.28,0.0,0.0,3000.0,300.0
920284.BJ,2016-01-28,0.28,0.28,0.28,0.28,0.28,0.0,0.0,3000.0,300.0
920284.BJ,2016-01-29,0.28,0.28,0.28,0.28,0.28,0.0,0.0,1885.0,188.5
920284.BJ,2016-02-03,2.31,2.31,2.31,2.31,0.28,2.0300000000000002,725.0,10.0,8.2
920284.BJ,2016-02-15,2.95,2.95,2.95,2.95,2.31,0.6400000000000001,27.71,10.0,10.5
920284.BJ,2016-03-08,2.76,2.76,2.76,2.76,2.95,-0.1900000000000004,-6.44,10.0,9.8
920284.BJ,2016-03-25,5.35,5.35,5.35,5.35,2.76,2.59,93.84,10.0,19.0
920284.BJ,2016-03-31,4.39,4.92,4.39,4.92,5.35,-0.4299999999999997,-8.04,30.0,49.6
920284.BJ,2016-04-05,4.08,5.32,4.08,5.32,4.92,0.40000000000000036,8.13,30.0,51.0
920284.BJ,2016-04-11,5.23,5.57,5.23,5.4,5.32,0.08000000000000007,1.5,30.0,57.6
920284.BJ,2016-04-13,5.77,5.94,5.77,5.85,5.4,0.4499999999999993,8.33,30.0,62.3
920284.BJ,2016-04-14,5.97,5.97,5.77,5.87,5.85,0.020000000000000462,0.34,20.0,41.7
920284.BJ,2016-04-19,7.04,7.65,7.04,7.35,5.87,1.4799999999999995,25.21,20.0,52.2
920284.BJ,2016-04-20,7.26,7.26,7.18,7.18,7.35,-0.16999999999999993,-2.31,20.0,51.3
920284.BJ,2016-04-21,6.89,6.89,6.89,6.89,7.18,-0.29000000000000004,-4.04,10.0,24.5
920284.BJ,2016-04-26,6.81,6.81,6.19,6.5,6.89,-0.3899999999999997,-5.66,20.0,46.2
920284.BJ,2016-04-28,6.42,6.42,6.42,6.42,6.5,-0.08000000000000007,-1.23,10.0,22.8
920284.BJ,2016-05-11,6.42,6.5,6.42,6.46,6.42,0.040000000000000036,0.62,20.0,45.9
920284.BJ,2016-05-13,6.19,6.19,6.19,6.19,6.46,-0.2699999999999996,-4.18,10.0,22.0
920284.BJ,2016-05-16,5.91,5.91,5.91,5.91,6.19,-0.28000000000000025,-4.52,10.0,21.0
920284.BJ,2016-05-20,5.77,5.77,5.77,5.77,5.91,-0.14000000000000057,-2.37,10.0,20.5
920284.BJ,2016-05-30,4.79,4.79,4.7,4.74,5.77,-1.0299999999999994,-17.85,1000.0,990.0
920284.BJ,2016-06-06,4.31,4.31,4.31,4.31,4.74,-0.4300000000000006,-9.07,10.0,9.0
920284.BJ,2016-06-14,4.07,4.07,4.07,4.07,4.31,-0.23999999999999932,-5.57,10.0,8.5
920284.BJ,2016-06-15,1.15,1.15,1.15,1.15,4.07,-2.9200000000000004,-71.74,4090.0,981.6
920284.BJ,2016-06-16,1.15,1.15,1.15,1.15,1.15,0.0,0.0,5100.0,1224.0
920284.BJ,2016-06-20,1.15,1.15,1.15,1.15,1.15,0.0,0.0,6800.0,1632.0
