ts_code,trade_date,total_mv,circ_mv
600115.SH,20260105,13363080.6854,10300103.7603
600589.SH,20260105,1097171.0487,1092589.2487
603222.SH,20260105,496735.7218,496735.7218
000937.SZ,20260105,1879846.9242,1826567.3248
002838.SZ,20260105,1136674.6032,999420.9762
688262.SH,20260105,1093007.717,1093007.717
300096.SZ,20260105,319920.0,319920.0
300733.SZ,20260105,575282.759,424360.8541
002507.SZ,20260105,1504710.4125,1498184.5276
002333.SZ,20260105,382682.3616,370003.2777
000534.SZ,20260105,1112853.9589,1091935.3885
003042.SZ,20260105,227540.56,203403.0948
002475.SZ,20260105,42658473.8985,42560626.2802
600361.SH,20260105,1603842.8136,1603842.8136
603100.SH,20260105,1192101.2878,1184731.2986
300865.SZ,20260105,265224.96,155928.9861
002121.SZ,20260105,1308723.5501,1103138.8544
002282.SZ,20260105,389860.3775,373705.6521
001223.SZ,20260105,450236.696,450236.696
300460.SZ,20260105,219588.9243,219588.9243
300590.SZ,20260105,592833.7065,456773.1632
000638.SZ,20260105,152890.7965,152281.4901
002069.SZ,20260105,265955.9606,265620.8566
300099.SZ,20260105,568431.5116,448268.837
301051.SZ,20260105,401010.8256,317990.7329
603109.SH,20260105,572244.5064,572244.5064
002873.SZ,20260105,247277.1555,241771.5157
688190.SH,20260105,1190640.0,1190640.0
920139.BJ,20260105,583213.9963,559009.2798
002310.SZ,20260105,1355846.7984,948985.236
300697.SZ,20260105,764907.52,356236.5548
300415.SZ,20260105,1226226.9738,1185742.1278
002569.SZ,20260105,187789.04,182503.1782
600279.SH,20260105,643281.5254,643281.5254
002682.SZ,20260105,457768.0355,457761.1979
300400.SZ,20260105,489133.6128,483685.5744
600802.SH,20260105,298319.7084,298319.7084
600365.SH,20260105,148921.84,140147.84
300805.SZ,20260105,460486.4688,312827.9508
300520.SZ,20260105,1079054.6115,1027241.1599
002330.SZ,20260105,308763.2309,308696.8555
688577.SH,20260105,1073404.2659,1073404.2659
301151.SZ,20260105,320769.7818,320465.5419
603606.SH,20260105,4138671.0846,4138671.0846
603599.SH,20260105,1053181.6322,1053181.6322
000547.SZ,20260105,5287733.0339,5256812.4731
002453.SZ,20260105,512603.6565,386653.5388
002493.SZ,20260105,11557784.6879,10832063.6691
002810.SZ,20260105,507418.2029,469864.1089
605080.SH,20260105,332904.0557,330106.0224
601798.SH,20260105,317302.7372,317302.7372
601058.SH,20260105,5441805.9286,5441805.9286
301055.SZ,20260105,313248.0,313248.0
000009.SZ,20260105,2599847.6767,2596628.6287
002848.SZ,20260105,157622.45,155525.4179
002221.SZ,20260105,1278239.619,1184769.7158
603322.SH,20260105,627195.4481,627195.4481
603091.SH,20260105,799507.3613,240987.0085
688113.SH,20260105,257590.236,257590.236
300765.SZ,20260105,5260200.5753,5260200.5753
301010.SZ,20260105,237816.0,237816.0
