ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
920057.BJ,2016-11-22,5.17,5.17,5.17,5.17,,,,45000.0,23400.0
920057.BJ,2016-11-23,15.9,15.9,15.9,15.9,5.17,10.73,207.54,60.0,96.0
920057.BJ,2016-11-24,15.4,15.9,14.9,15.9,15.9,0.0,0.0,5460.0,8376.5
920057.BJ,2016-11-25,15.9,15.9,14.9,15.9,15.9,0.0,0.0,6510.0,9911.0
920057.BJ,2016-11-28,15.9,15.9,14.9,14.9,15.9,-1.0,-6.29,3270.0,5006.5
920057.BJ,2016-11-29,15.9,15.9,15.4,15.44,14.9,0.5399999999999991,3.62,2050.0,3233.0
920057.BJ,2016-11-30,15.9,15.9,15.4,15.4,15.44,-0.03999999999999915,-0.26,3120.0,4928.5
920057.BJ,2016-12-01,15.4,15.9,15.4,15.9,15.4,0.5,3.25,1770.0,2774.0
920057.BJ,2016-12-02,15.9,15.9,15.9,15.9,15.9,0.0,0.0,20.0,32.0
920057.BJ,2016-12-05,14.9,16.1,14.9,14.91,15.9,-0.9900000000000002,-6.23,2880.0,4334.2
920057.BJ,2016-12-06,15.9,15.9,15.9,15.9,14.91,0.9900000000000002,6.64,360.0,576.0
920057.BJ,2016-12-07,15.9,16.0,14.9,16.0,15.9,0.09999999999999964,0.63,2600.0,3940.1
920057.BJ,2016-12-08,15.9,15.9,14.9,15.38,16.0,-0.6199999999999992,-3.87,1590.0,2462.0
920057.BJ,2016-12-09,15.9,16.4,14.9,16.01,15.38,0.6300000000000008,4.1,2890.0,4462.5
920057.BJ,2016-12-12,15.9,15.9,14.9,15.9,16.01,-0.11000000000000121,-0.69,3160.0,4895.0
920057.BJ,2017-03-23,15.9,15.9,15.9,15.9,15.9,0.0,0.0,70.0,112.0
920057.BJ,2017-03-24,15.9,15.9,15.9,15.9,15.9,0.0,0.0,130.0,208.0
920057.BJ,2017-03-27,15.9,15.9,15.9,15.9,15.9,0.0,0.0,130.0,208.0
920057.BJ,2017-03-29,15.9,15.9,15.9,15.9,15.9,0.0,0.0,350.0,560.0
920057.BJ,2017-03-30,15.4,15.9,15.4,15.67,15.9,-0.23000000000000043,-1.45,1030.0,1624.0
920057.BJ,2017-03-31,15.9,15.9,14.9,15.4,15.67,-0.2699999999999996,-1.72,4920.0,7577.5
920057.BJ,2018-04-17,8.89,8.89,8.89,8.89,15.4,-6.51,-42.27,670.0,599.65
920057.BJ,2018-04-27,8.83,8.83,8.83,8.83,8.89,-0.0600000000000005,-0.67,150.0,133.35
920057.BJ,2018-05-22,5.85,5.85,5.85,5.85,8.83,-2.9800000000000004,-33.75,10.0,5.89
920057.BJ,2018-05-24,5.76,5.76,5.76,5.76,5.85,-0.08999999999999986,-1.54,1080.0,626.4
920057.BJ,2018-08-06,3.73,3.73,3.73,3.73,5.76,-2.03,-35.24,130.0,48.75
920057.BJ,2018-08-16,3.68,3.68,3.68,3.68,3.73,-0.04999999999999982,-1.34,160.0,59.2
920057.BJ,2018-09-07,2.68,2.68,2.68,2.68,3.68,-1.0,-27.17,40.0,10.8
920057.BJ,2018-09-17,1.99,1.99,1.99,1.99,2.68,-0.6900000000000002,-25.75,110.0,22.0
920057.BJ,2018-09-28,1.99,1.99,1.99,1.99,1.99,0.0,0.0,60.0,12.0
920057.BJ,2018-11-05,1.99,1.99,1.99,1.99,1.99,0.0,0.0,10.0,2.0
920057.BJ,2018-11-19,3.13,3.13,3.13,3.13,1.99,1.14,57.29,10.0,3.15
920057.BJ,2018-11-21,5.4,5.4,5.4,5.4,3.13,2.2700000000000005,72.52,10.0,5.43
920057.BJ,2020-08-19,5.47,5.47,5.47,5.47,5.4,0.0699999999999994,1.3,160.0,88.0
920057.BJ,2020-09-11,2.73,2.73,2.73,2.73,5.47,-2.7399999999999998,-50.09,2.0,0.55
920057.BJ,2020-09-14,2.73,2.77,2.73,2.77,2.73,0.040000000000000036,1.47,19.0,5.239
920057.BJ,2020-09-16,2.73,2.73,2.66,2.66,2.77,-0.10999999999999988,-3.97,202.0,55.116
920057.BJ,2020-09-18,2.67,4.84,2.67,4.84,2.66,2.1799999999999997,81.95,13.0,3.933
920057.BJ,2020-10-12,2.48,2.48,2.48,2.48,4.84,-2.36,-48.76,4.0,1.0
920057.BJ,2020-10-20,2.32,2.32,2.32,2.32,2.48,-0.16000000000000014,-6.45,60.0,13.98
920057.BJ,2020-10-21,2.09,2.21,2.09,2.21,2.32,-0.10999999999999988,-4.74,204.99,43.107
920057.BJ,2020-10-22,2.24,2.34,1.99,2.34,2.21,0.1299999999999999,5.88,63.0,14.735
920057.BJ,2020-10-23,2.91,2.91,2.91,2.91,2.34,0.5700000000000003,24.36,1.0,0.293
920057.BJ,2020-10-27,3.45,3.45,2.38,2.45,2.91,-0.45999999999999996,-15.81,129.01,31.629
920057.BJ,2020-10-28,1.9,2.91,1.9,2.91,2.45,0.45999999999999996,18.78,21.0,4.593
920057.BJ,2020-10-30,2.68,2.68,2.68,2.68,2.91,-0.22999999999999998,-7.9,3.0,0.81
920057.BJ,2020-11-23,1.97,1.97,1.94,1.94,2.68,-0.7400000000000002,-27.61,67.0,13.155
920057.BJ,2020-11-26,1.99,1.99,1.99,1.99,1.94,0.050000000000000044,2.58,1.0,0.2
920057.BJ,2020-11-27,2.19,2.19,2.19,2.19,1.99,0.19999999999999996,10.05,12.0,2.64
920057.BJ,2020-11-30,2.48,2.48,2.48,2.48,2.19,0.29000000000000004,13.24,154.0,38.5
920057.BJ,2020-12-02,2.48,2.48,2.48,2.48,2.48,0.0,0.0,78.51,19.627
920057.BJ,2020-12-03,1.91,1.91,1.91,1.91,2.48,-0.5700000000000001,-22.98,1.0,0.192
920057.BJ,2020-12-09,2.4,2.4,2.4,2.4,1.91,0.49,25.65,130.0,31.46
920057.BJ,2020-12-11,2.58,2.58,2.04,2.41,2.4,0.010000000000000231,0.42,52.0,10.753
920057.BJ,2020-12-14,2.38,2.38,2.38,2.38,2.41,-0.03000000000000025,-1.24,1.0,0.24
920057.BJ,2020-12-18,2.38,2.38,2.38,2.38,2.38,0.0,0.0,1.0,0.24
920057.BJ,2020-12-21,2.27,2.27,1.94,1.94,2.38,-0.43999999999999995,-18.49,30.0,6.51
920057.BJ,2020-12-22,2.07,2.74,2.07,2.74,1.94,0.8000000000000003,41.24,30.0,6.92
920057.BJ,2020-12-23,2.2,2.2,2.0,2.02,2.74,-0.7200000000000002,-26.28,449.0,91.359
920057.BJ,2020-12-25,2.68,2.68,2.68,2.68,2.02,0.6600000000000001,32.67,1.0,0.27
920057.BJ,2020-12-28,2.19,2.29,2.19,2.27,2.68,-0.41000000000000014,-15.3,200.94,44.564
920057.BJ,2020-12-29,2.14,3.01,2.14,2.29,2.27,0.020000000000000018,0.88,126.0,27.478
920057.BJ,2020-12-31,2.98,2.98,2.98,2.98,2.29,0.69,30.13,180.0,54.0
920057.BJ,2021-01-14,2.31,2.33,2.31,2.33,2.98,-0.6499999999999999,-21.81,55.0,12.82
920057.BJ,2021-01-15,2.48,2.48,2.48,2.48,2.33,0.1499999999999999,6.44,50.0,12.5
920057.BJ,2021-01-18,2.48,2.49,2.48,2.49,2.48,0.010000000000000231,0.4,35.0,8.751
920057.BJ,2021-01-20,2.49,2.49,2.48,2.48,2.49,-0.010000000000000231,-0.4,20.0,5.01
920057.BJ,2021-01-21,2.76,2.76,2.49,2.5,2.48,0.020000000000000018,0.81,298.49,76.203
920057.BJ,2021-01-22,2.88,2.88,2.6,2.6,2.5,0.10000000000000009,4.0,21.0,6.062
920057.BJ,2021-01-26,2.78,3.28,2.78,3.28,2.6,0.6799999999999997,26.15,57.92,19.063
920057.BJ,2021-01-28,3.22,3.22,3.22,3.22,3.28,-0.05999999999999961,-1.83,55.0,17.82
920057.BJ,2021-02-05,2.78,2.78,2.78,2.78,3.22,-0.4400000000000004,-13.66,50.0,14.0
920057.BJ,2021-02-22,2.86,5.47,2.86,5.27,2.78,2.4899999999999998,89.57,806.48,336.83
920057.BJ,2021-03-03,3.86,3.86,3.64,3.64,5.27,-1.6299999999999994,-30.93,120.0,44.8
920057.BJ,2021-03-04,3.33,3.33,3.33,3.33,3.64,-0.31000000000000005,-8.52,50.0,16.75
920057.BJ,2021-03-05,3.28,3.28,3.28,3.28,3.33,-0.050000000000000266,-1.5,1.0,0.33
920057.BJ,2021-03-09,3.27,3.27,3.27,3.27,3.28,-0.009999999999999787,-0.3,32.02,10.534
920057.BJ,2021-03-18,3.16,3.16,3.16,3.16,3.27,-0.10999999999999988,-3.36,10.0,3.18
920057.BJ,2021-03-22,3.04,3.04,3.04,3.04,3.16,-0.1200000000000001,-3.8,29.0,8.874
920057.BJ,2021-03-23,2.98,2.98,2.98,2.98,3.04,-0.06000000000000005,-1.97,40.0,12.0
920057.BJ,2021-03-24,2.86,2.86,2.86,2.86,2.98,-0.1200000000000001,-4.03,21.0,6.048
920057.BJ,2021-03-26,2.86,2.86,2.86,2.86,2.86,0.0,0.0,90.0,25.92
920057.BJ,2021-03-29,2.88,2.88,2.88,2.88,2.86,0.020000000000000018,0.7,37.99,11.017
920057.BJ,2021-03-30,2.87,3.47,2.87,3.47,2.88,0.5900000000000003,20.49,71.49,21.16
920057.BJ,2021-03-31,2.98,2.98,2.98,2.98,3.47,-0.4900000000000002,-14.12,33.0,9.9
920057.BJ,2021-04-06,2.98,2.98,2.98,2.98,2.98,0.0,0.0,30.0,9.0
920057.BJ,2021-04-09,2.86,2.86,2.86,2.86,2.98,-0.1200000000000001,-4.03,50.0,14.4
920057.BJ,2021-04-13,3.06,3.06,3.06,3.06,2.86,0.20000000000000018,6.99,30.0,9.24
920057.BJ,2021-04-14,2.86,2.98,2.86,2.98,3.06,-0.08000000000000007,-2.61,130.0,38.16
920057.BJ,2021-04-16,3.01,3.03,3.01,3.03,2.98,0.04999999999999982,1.68,18.95,5.745
920057.BJ,2021-04-19,3.06,3.07,3.06,3.07,3.03,0.040000000000000036,1.32,101.0,31.109
920057.BJ,2021-04-20,3.01,3.01,3.01,3.01,3.07,-0.06000000000000005,-1.95,47.99,14.54
920057.BJ,2021-04-23,3.06,3.06,3.06,3.06,3.01,0.050000000000000266,1.66,40.0,12.32
920057.BJ,2021-04-26,3.97,3.97,3.96,3.97,3.06,0.9100000000000001,29.74,10.0,3.996
920057.BJ,2021-04-27,4.47,4.47,4.47,4.47,3.97,0.49999999999999956,12.59,10.0,4.5
920057.BJ,2021-04-28,3.53,3.53,3.53,3.53,4.47,-0.94,-21.03,10.0,3.55
920057.BJ,2021-04-29,2.86,3.48,2.86,3.48,3.53,-0.04999999999999982,-1.42,43.0,12.57
920057.BJ,2021-04-30,4.85,4.85,3.97,3.97,3.48,0.4900000000000002,14.08,119.03,53.567
920057.BJ,2021-05-06,3.97,3.97,3.97,3.97,3.97,0.0,0.0,22.0,8.8
920057.BJ,2021-05-07,3.97,3.97,3.97,3.97,3.97,0.0,0.0,15.0,6.0
920057.BJ,2021-05-11,3.97,3.97,3.97,3.97,3.97,0.0,0.0,5.0,2.0
920057.BJ,2021-05-17,3.48,3.54,3.48,3.54,3.97,-0.43000000000000016,-10.83,11.0,3.856
920057.BJ,2021-05-19,3.86,3.86,3.86,3.86,3.54,0.31999999999999984,9.04,18.97,7.36
920057.BJ,2021-05-20,3.78,3.78,3.78,3.78,3.86,-0.08000000000000007,-2.07,30.0,11.4
920057.BJ,2021-05-21,3.7,3.7,3.7,3.7,3.78,-0.07999999999999963,-2.12,70.0,26.04
920057.BJ,2021-05-24,3.49,3.78,3.49,3.78,3.7,0.07999999999999963,2.16,45.0,16.665
920057.BJ,2021-05-25,3.58,3.58,3.58,3.58,3.78,-0.19999999999999973,-5.29,0.01,0.003
920057.BJ,2021-05-28,3.38,3.77,3.38,3.38,3.58,-0.20000000000000018,-5.59,29.9,10.451
920057.BJ,2021-06-03,3.38,3.38,3.38,3.38,3.38,0.0,0.0,20.0,6.8
920057.BJ,2021-06-04,3.76,3.76,3.28,3.28,3.38,-0.10000000000000009,-2.96,11.0,3.678
920057.BJ,2021-06-07,3.57,3.57,3.57,3.57,3.28,0.29000000000000004,8.84,1.0,0.359
920057.BJ,2021-06-08,3.21,3.21,3.21,3.21,3.57,-0.3599999999999999,-10.08,50.0,16.15
920057.BJ,2021-06-09,3.37,3.37,3.37,3.37,3.21,0.16000000000000014,4.98,5.0,1.695
920057.BJ,2021-06-15,3.73,3.73,3.73,3.73,3.37,0.3599999999999999,10.68,1.0,0.375
920057.BJ,2021-06-17,3.95,3.95,3.95,3.95,3.73,0.2200000000000002,5.9,1.0,0.398
920057.BJ,2021-06-21,2.98,2.98,2.98,2.98,3.95,-0.9700000000000002,-24.56,38.98,11.694
920057.BJ,2021-06-22,3.09,3.09,3.09,3.09,2.98,0.10999999999999988,3.69,1.0,0.311
920057.BJ,2021-06-23,3.08,3.08,3.08,3.08,3.09,-0.009999999999999787,-0.32,100.0,31.0
920057.BJ,2021-06-24,2.98,2.98,2.98,2.98,3.08,-0.10000000000000009,-3.25,50.0,15.0
920057.BJ,2021-06-25,3.18,3.18,3.18,3.18,2.98,0.20000000000000018,6.71,78.0,24.96
920057.BJ,2021-06-28,2.98,2.98,2.98,2.98,3.18,-0.20000000000000018,-6.29,201.47,60.441
920057.BJ,2021-06-30,2.98,2.98,2.98,2.98,2.98,0.0,0.0,30.0,9.0
920057.BJ,2021-07-01,3.08,3.08,3.08,3.08,2.98,0.10000000000000009,3.36,6.0,1.86
920057.BJ,2021-07-02,3.08,3.1,3.08,3.1,3.08,0.020000000000000018,0.65,55.0,17.15
920057.BJ,2021-07-06,3.1,3.1,3.1,3.1,3.1,0.0,0.0,30.0,9.36
920057.BJ,2021-07-08,3.13,3.13,3.13,3.13,3.1,0.029999999999999805,0.97,20.0,6.3
920057.BJ,2021-07-14,3.13,3.13,3.13,3.13,3.13,0.0,0.0,100.0,31.5
920057.BJ,2021-07-15,3.14,3.14,3.14,3.14,3.13,0.010000000000000231,0.32,51.0,16.116
920057.BJ,2021-07-16,3.16,3.16,3.16,3.16,3.14,0.020000000000000018,0.64,1.0,0.318
920057.BJ,2021-07-20,3.18,3.2,3.18,3.2,3.16,0.040000000000000036,1.27,90.0,28.802
920057.BJ,2021-07-22,3.23,3.23,3.23,3.23,3.2,0.029999999999999805,0.94,1.0,0.325
920057.BJ,2021-07-23,3.25,3.25,3.25,3.25,3.23,0.020000000000000018,0.62,1.0,0.327
920057.BJ,2021-07-28,6.46,6.46,6.46,6.46,3.25,3.21,98.77,1.0,0.65
920057.BJ,2021-08-04,3.49,3.49,3.49,3.49,6.46,-2.9699999999999998,-45.98,1.0,0.351
920057.BJ,2021-08-10,3.14,3.14,3.14,3.14,3.49,-0.3500000000000001,-10.03,13.0,4.108
920057.BJ,2021-08-11,3.16,3.16,3.16,3.16,3.14,0.020000000000000018,0.64,17.54,5.577
920057.BJ,2021-08-17,3.23,3.23,3.23,3.23,3.16,0.06999999999999984,2.22,87.99,28.596
920057.BJ,2021-08-18,3.35,3.35,3.35,3.35,3.23,0.1200000000000001,3.72,40.0,13.48
920057.BJ,2021-09-01,3.48,3.48,3.48,3.48,3.35,0.1299999999999999,3.88,1.0,0.35
920057.BJ,2021-09-03,3.97,3.97,3.48,3.48,3.48,0.0,0.0,69.0,25.1
920057.BJ,2021-09-06,3.63,3.63,3.63,3.63,3.48,0.1499999999999999,4.31,40.0,14.6
920057.BJ,2021-09-10,4.17,4.17,4.17,4.17,3.63,0.54,14.88,49.51,20.794
920057.BJ,2021-09-14,4.27,4.87,4.27,4.87,4.17,0.7000000000000002,16.79,11.49,5.51
920057.BJ,2021-09-22,3.54,3.54,3.54,3.54,4.87,-1.33,-27.31,60.0,21.36
920057.BJ,2021-09-24,3.78,3.78,3.78,3.78,3.54,0.23999999999999977,6.78,1.0,0.38
920057.BJ,2021-09-27,3.99,3.99,3.99,3.99,3.78,0.2100000000000004,5.56,1.0,0.402
920057.BJ,2021-09-28,4.12,4.12,4.12,4.12,3.99,0.1299999999999999,3.26,153.0,63.495
920057.BJ,2021-09-30,4.47,4.47,4.47,4.47,4.12,0.34999999999999964,8.5,10.0,4.5
920057.BJ,2021-10-11,3.97,4.12,3.97,4.12,4.47,-0.34999999999999964,-7.83,40.0,16.238
920057.BJ,2021-10-20,3.97,3.97,3.97,3.97,4.12,-0.1499999999999999,-3.64,2.0,0.8
920057.BJ,2021-10-21,3.97,3.97,3.97,3.97,3.97,0.0,0.0,10.0,4.0
920057.BJ,2021-10-27,3.97,3.97,3.97,3.97,3.97,0.0,0.0,2.0,0.8
920057.BJ,2021-10-28,3.97,3.97,3.97,3.97,3.97,0.0,0.0,0.51,0.204
920057.BJ,2021-11-05,4.87,5.96,4.87,5.47,3.97,1.4999999999999996,37.78,125.01,69.542
920057.BJ,2021-11-08,5.49,5.95,5.49,5.57,5.47,0.10000000000000053,1.83,132.0,75.263
920057.BJ,2021-11-09,6.46,6.46,5.91,6.41,5.57,0.8399999999999999,15.08,271.68,168.931
920057.BJ,2021-11-10,6.44,6.44,6.26,6.27,6.41,-0.14000000000000057,-2.18,159.56,101.026
920057.BJ,2021-11-11,6.64,7.02,6.64,7.02,6.27,0.75,11.96,59.0,41.486
920057.BJ,2021-11-12,12.4,12.4,6.57,6.98,7.02,-0.03999999999999915,-0.57,14.23,10.485
920057.BJ,2021-11-15,7.6,7.6,6.99,7.6,6.98,0.6199999999999992,8.88,91.05,69.101
920057.BJ,2021-11-16,7.6,7.95,7.6,7.95,7.6,0.35000000000000053,4.61,162.1,129.485
920057.BJ,2021-11-17,7.95,7.95,7.94,7.94,7.95,-0.009999999999999787,-0.13,142.0,113.469
920057.BJ,2021-11-18,8.45,8.45,7.13,7.13,7.94,-0.8100000000000005,-10.2,213.63,154.615
920057.BJ,2021-11-19,7.17,7.25,6.49,6.56,7.13,-0.5700000000000003,-7.99,59.52,39.426
920057.BJ,2021-11-22,6.64,6.95,6.64,6.95,6.56,0.39000000000000057,5.95,119.0,80.734
920057.BJ,2021-11-23,6.95,6.95,6.86,6.94,6.95,-0.009999999999999787,-0.14,31.77,22.042
920057.BJ,2021-11-24,6.94,6.94,6.61,6.66,6.94,-0.28000000000000025,-4.03,147.0,99.893
920057.BJ,2021-11-25,6.76,6.76,6.26,6.76,6.66,0.09999999999999964,1.5,277.99,187.249
920057.BJ,2021-11-26,6.94,6.94,6.81,6.91,6.76,0.15000000000000036,2.22,175.68,121.777
920057.BJ,2021-11-29,6.95,6.95,6.86,6.91,6.91,0.0,0.0,382.0,266.285
920057.BJ,2021-11-30,11.92,11.92,6.64,6.91,6.91,0.0,0.0,137.01,96.726
920057.BJ,2021-12-01,6.92,6.92,6.91,6.91,6.91,0.0,0.0,132.0,91.84
