ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
920363.BJ,2023-12-28,19.42,19.91,16.14,16.16,5.94,10.219999999999999,172.05,160312.01,354670.037
920363.BJ,2023-12-29,15.51,16.73,15.34,16.69,16.16,0.5300000000000011,3.28,96273.62,189244.016
920363.BJ,2024-01-02,16.69,17.69,16.16,17.0,16.69,0.3099999999999987,1.86,82723.76,170835.194
920363.BJ,2024-01-03,16.81,16.85,16.0,16.3,17.0,-0.6999999999999993,-4.12,52382.89,105031.919
920363.BJ,2024-01-04,16.38,17.45,16.21,16.83,16.3,0.5299999999999976,3.25,65216.05,134856.097
920363.BJ,2024-01-05,16.47,16.64,15.41,15.85,16.83,-0.9799999999999986,-5.82,61751.16,121619.354
920363.BJ,2024-01-08,15.87,16.23,15.14,15.14,15.85,-0.7099999999999991,-4.48,27487.16,52870.827
920363.BJ,2024-01-09,14.88,15.5,13.6,14.21,15.14,-0.9299999999999997,-6.14,38169.16,67958.984
920363.BJ,2024-01-10,14.28,14.56,13.72,14.56,14.21,0.34999999999999964,2.46,24060.44,41739.838
920363.BJ,2024-01-11,14.31,15.43,14.22,15.28,14.56,0.7199999999999989,4.95,38893.7,71158.52
920363.BJ,2024-01-12,15.14,15.56,13.89,14.49,15.28,-0.7899999999999991,-5.17,28035.47,50831.861
920363.BJ,2024-01-15,14.43,14.56,13.87,14.16,14.49,-0.33000000000000007,-2.28,14749.58,25558.461
920363.BJ,2024-01-16,14.05,15.14,13.45,15.09,14.16,0.9299999999999997,6.57,37397.81,66122.527
920363.BJ,2024-01-17,14.77,15.04,14.43,14.86,15.09,-0.23000000000000043,-1.52,20618.09,37220.615
920363.BJ,2024-01-18,14.52,15.39,14.34,15.35,14.86,0.4900000000000002,3.3,26312.9,48237.222
920363.BJ,2024-01-19,15.28,15.79,15.05,15.68,15.35,0.33000000000000007,2.15,26787.17,50552.07
920363.BJ,2024-01-22,15.5,15.66,14.64,15.03,15.68,-0.6500000000000004,-4.15,16522.9,30571.534
920363.BJ,2024-01-23,14.97,15.19,14.63,15.06,15.03,0.030000000000001137,0.2,12658.52,23221.221
920363.BJ,2024-01-24,14.97,15.1,14.13,14.88,15.06,-0.17999999999999972,-1.2,11634.76,20845.416
920363.BJ,2024-01-25,14.52,14.92,14.43,14.72,14.88,-0.16000000000000014,-1.08,10115.08,18179.707
920363.BJ,2024-01-26,14.72,14.72,13.95,13.99,14.72,-0.7300000000000004,-4.96,10868.7,19078.371
920363.BJ,2024-01-29,14.12,14.12,12.79,13.02,13.99,-0.9700000000000006,-6.93,13395.66,21837.351
920363.BJ,2024-01-30,13.02,13.14,12.35,12.86,13.02,-0.16000000000000014,-1.23,10954.66,17006.623
920363.BJ,2024-01-31,12.93,13.07,12.43,12.74,12.86,-0.11999999999999922,-0.93,5939.7,9306.334
920363.BJ,2024-02-01,12.74,12.85,11.98,11.98,12.74,-0.7599999999999998,-5.97,6588.74,10018.853
920363.BJ,2024-02-02,12.0,12.21,10.13,11.26,11.98,-0.7200000000000006,-6.01,10961.22,14932.409
920363.BJ,2024-02-05,11.26,11.26,10.29,10.85,11.26,-0.41000000000000014,-3.64,7012.13,9231.166
920363.BJ,2024-02-06,10.85,11.88,10.7,11.74,10.85,0.8900000000000006,8.2,9146.53,12856.05
920363.BJ,2024-02-07,11.83,12.79,11.27,11.27,11.74,-0.47000000000000064,-4.0,12118.94,17788.527
920363.BJ,2024-02-08,11.35,11.96,10.93,11.87,11.27,0.5999999999999996,5.32,8249.34,11601.959
920363.BJ,2024-02-19,11.77,12.13,11.77,11.97,11.87,0.10000000000000142,0.84,6826.77,9987.962
920363.BJ,2024-02-20,12.08,12.48,11.98,12.31,11.97,0.33999999999999986,2.84,10653.83,15949.68
920363.BJ,2024-02-21,12.11,12.61,12.08,12.08,12.31,-0.23000000000000043,-1.87,9979.77,15075.128
920363.BJ,2024-02-22,11.92,12.13,11.77,11.86,12.08,-0.22000000000000064,-1.82,9859.46,14354.741
920363.BJ,2024-02-23,12.03,12.03,11.35,11.51,11.86,-0.34999999999999964,-2.95,8212.98,11629.638
920363.BJ,2024-02-26,11.42,11.76,11.42,11.73,11.51,0.22000000000000064,1.91,5928.16,8471.045
920363.BJ,2024-02-27,11.66,13.73,11.59,13.2,11.73,1.4699999999999989,12.53,35407.65,55071.563
920363.BJ,2024-02-28,13.17,13.61,12.0,12.05,13.2,-1.1499999999999986,-8.71,29019.33,46001.773
