ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
920807.BJ,2019-06-24,1.3,1.3,1.3,1.3,,,,10.0,1.68
920807.BJ,2019-08-26,2.61,2.61,2.61,2.61,1.3,1.3099999999999998,100.77,10.0,3.36
920807.BJ,2020-06-04,3.04,3.04,3.04,3.04,2.61,0.43000000000000016,16.48,101.0,38.38
920807.BJ,2020-06-05,3.43,3.43,3.43,3.43,3.04,0.3900000000000001,12.83,1.0,0.429
920807.BJ,2020-07-16,3.08,3.08,3.08,3.08,3.43,-0.3500000000000001,-10.2,20.0,7.7
920807.BJ,2021-07-13,5.43,5.43,5.43,5.43,3.08,2.3499999999999996,76.3,2.0,1.2
920807.BJ,2021-08-25,7.24,7.24,7.24,7.24,5.43,1.8100000000000005,33.33,1.0,0.8
920807.BJ,2021-09-06,9.5,9.66,9.5,9.66,7.24,2.42,33.43,71.0,75.57
920807.BJ,2021-09-07,9.77,9.77,9.77,9.77,9.66,0.10999999999999943,1.14,30.0,32.4
920807.BJ,2021-09-08,9.95,9.95,9.95,9.95,9.77,0.17999999999999972,1.84,16.0,17.6
920807.BJ,2021-09-23,9.95,10.76,9.95,10.76,9.95,0.8100000000000005,8.14,104.0,123.3
920807.BJ,2021-09-24,11.06,11.06,11.06,11.06,10.76,0.3000000000000007,2.79,1.0,1.222
920807.BJ,2021-10-11,10.33,10.33,10.33,10.33,11.06,-0.7300000000000004,-6.6,1.0,1.141
920807.BJ,2021-10-15,10.87,11.03,10.87,11.03,10.33,0.6999999999999993,6.78,11.0,13.391
920807.BJ,2021-10-19,11.06,12.04,11.06,12.04,11.03,1.0099999999999998,9.16,70.98,90.616
920807.BJ,2021-10-20,12.65,12.66,12.65,12.66,12.04,0.620000000000001,5.15,45.02,62.972
920807.BJ,2021-10-29,12.31,12.31,12.31,12.31,12.66,-0.34999999999999964,-2.76,20.0,27.2
920807.BJ,2021-11-15,11.76,11.95,11.76,11.95,12.31,-0.3600000000000012,-2.92,85.0,111.1
920807.BJ,2021-11-18,11.94,11.94,11.94,11.94,11.95,-0.009999999999999787,-0.08,2.0,2.638
920807.BJ,2021-11-19,11.76,11.95,11.76,11.95,11.94,0.009999999999999787,0.08,67.49,88.827
920807.BJ,2021-11-22,11.95,11.95,11.95,11.95,11.95,0.0,0.0,204.5,269.94
920807.BJ,2021-11-23,11.79,11.79,11.76,11.76,11.95,-0.1899999999999995,-1.59,25.0,32.515
920807.BJ,2021-11-24,12.3,12.3,12.3,12.3,11.76,0.5400000000000009,4.59,130.0,176.67
920807.BJ,2021-11-26,12.32,12.32,12.32,12.32,12.3,0.019999999999999574,0.16,41.0,55.801
920807.BJ,2021-11-29,12.4,13.58,12.4,13.58,12.32,1.2599999999999998,10.23,167.0,238.725
920807.BJ,2021-11-30,13.58,13.64,13.58,13.64,13.58,0.0600000000000005,0.44,59.0,88.859
920807.BJ,2021-12-01,13.64,13.92,13.64,13.92,13.64,0.27999999999999936,2.05,69.88,105.925
920807.BJ,2021-12-02,14.17,14.17,14.17,14.17,13.92,0.25,1.8,24.19,37.881
920807.BJ,2021-12-03,14.57,14.57,14.57,14.57,14.17,0.40000000000000036,2.82,2.0,3.22
920807.BJ,2021-12-06,14.48,14.56,14.48,14.48,14.57,-0.08999999999999986,-0.62,15.0,24.009
920807.BJ,2021-12-07,14.47,14.47,14.47,14.47,14.48,-0.009999999999999787,-0.07,1.0,1.599
920807.BJ,2021-12-08,14.48,14.48,14.48,14.48,14.47,0.009999999999999787,0.07,3.0,4.8
920807.BJ,2021-12-09,14.47,14.47,14.47,14.47,14.48,-0.009999999999999787,-0.07,1.0,1.599
920807.BJ,2021-12-15,14.16,14.16,14.16,14.16,14.47,-0.3100000000000005,-2.14,2.0,3.13
920807.BJ,2021-12-17,14.39,14.39,14.39,14.39,14.16,0.23000000000000043,1.62,1.0,1.59
920807.BJ,2021-12-20,14.3,14.3,13.72,13.72,14.39,-0.6699999999999999,-4.66,15.0,23.346
920807.BJ,2021-12-21,13.47,13.47,13.47,13.47,13.72,-0.25,-1.82,2.0,2.978
920807.BJ,2021-12-22,14.04,14.04,14.04,14.04,13.47,0.5699999999999985,4.23,6.0,9.306
920807.BJ,2021-12-23,14.03,14.03,13.57,13.57,14.04,-0.46999999999999886,-3.35,2.0,3.05
920807.BJ,2021-12-27,13.12,13.12,13.12,13.12,13.57,-0.45000000000000107,-3.32,12.0,17.4
920807.BJ,2021-12-28,13.57,13.57,13.57,13.57,13.12,0.45000000000000107,3.43,1.0,1.5
920807.BJ,2021-12-29,12.67,13.13,12.67,13.13,13.57,-0.4399999999999995,-3.24,40.0,57.02
920807.BJ,2021-12-30,14.04,14.04,13.48,13.49,13.13,0.35999999999999943,2.74,66.47,100.445
920807.BJ,2021-12-31,13.57,13.57,13.53,13.53,13.49,0.03999999999999915,0.3,76.0,113.81
920807.BJ,2022-01-04,13.66,14.8,13.66,14.8,13.53,1.2700000000000014,9.39,11.0,16.735
920807.BJ,2022-01-05,14.57,14.57,14.03,14.03,14.8,-0.7700000000000014,-5.2,19.0,30.35
920807.BJ,2022-01-06,14.07,14.16,14.07,14.16,14.03,0.13000000000000078,0.93,117.54,182.92
920807.BJ,2022-01-07,14.16,14.16,14.16,14.16,14.16,0.0,0.0,10.0,15.65
920807.BJ,2022-01-10,14.48,14.48,14.48,14.48,14.16,0.3200000000000003,2.26,2.0,3.2
920807.BJ,2022-01-11,14.6,14.82,14.6,14.82,14.48,0.33999999999999986,2.35,73.8,119.606
920807.BJ,2022-01-12,14.92,14.92,14.92,14.92,14.82,0.09999999999999964,0.67,30.0,49.47
920807.BJ,2022-01-13,14.91,14.91,14.88,14.88,14.92,-0.03999999999999915,-0.27,10.0,16.456
920807.BJ,2022-01-14,14.38,14.45,14.38,14.45,14.88,-0.4300000000000015,-2.89,3.4,5.425
920807.BJ,2022-01-17,14.95,14.95,14.92,14.92,14.45,0.47000000000000064,3.25,140.19,231.366
920807.BJ,2022-01-18,14.93,14.93,14.93,14.93,14.92,0.009999999999999787,0.07,5.0,8.25
920807.BJ,2022-01-20,14.91,14.91,14.91,14.91,14.93,-0.019999999999999574,-0.13,20.0,32.96
920807.BJ,2022-01-21,17.09,17.09,17.09,17.09,14.91,2.1799999999999997,14.62,1.0,1.888
