ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
920489.BJ,2015-01-06,3.1,3.1,3.1,3.1,3.63,-0.5299999999999998,-14.6,80.0,69.44
920489.BJ,2015-01-07,3.07,3.1,3.07,3.09,3.1,-0.010000000000000231,-0.32,368.0,318.794
920489.BJ,2015-01-08,2.14,2.14,2.14,2.14,3.09,-0.9499999999999997,-30.74,6600.0,3960.0
920489.BJ,2015-01-14,3.75,3.75,3.75,3.75,2.14,1.6099999999999999,75.23,10.0,10.5
920489.BJ,2015-01-19,3.21,3.21,3.21,3.21,3.75,-0.54,-14.4,180.0,162.0
920489.BJ,2015-01-20,3.17,3.17,3.17,3.17,3.21,-0.040000000000000036,-1.25,4.0,3.552
920489.BJ,2015-01-22,3.93,3.93,3.93,3.93,3.17,0.7600000000000002,23.97,10.0,11.0
920489.BJ,2015-01-26,3.21,3.52,3.21,3.21,3.93,-0.7200000000000002,-18.32,170.0,154.7
920489.BJ,2015-01-27,3.22,4.28,3.11,3.55,3.21,0.33999999999999986,10.59,50.0,48.84
920489.BJ,2015-01-28,3.25,3.39,3.25,3.28,3.55,-0.27,-7.61,88.0,80.88
920489.BJ,2015-02-02,3.28,3.28,3.28,3.28,3.28,0.0,0.0,20.0,18.4
920489.BJ,2015-02-04,3.28,3.28,3.28,3.28,3.28,0.0,0.0,40.0,36.8
920489.BJ,2015-02-16,3.25,3.53,3.25,3.44,3.28,0.16000000000000014,4.88,80.0,74.3
920489.BJ,2015-02-25,3.57,3.57,3.57,3.57,3.44,0.1299999999999999,3.78,300.0,300.0
920489.BJ,2015-02-26,3.57,3.57,3.57,3.57,3.57,0.0,0.0,70.0,70.0
920489.BJ,2015-02-27,3.57,3.6,3.57,3.6,3.57,0.03000000000000025,0.84,60.0,60.1
920489.BJ,2015-03-02,3.57,3.62,3.57,3.58,3.6,-0.020000000000000018,-0.56,140.0,140.25
920489.BJ,2015-03-03,3.63,3.63,3.57,3.57,3.58,-0.010000000000000231,-0.28,90.0,90.17
920489.BJ,2015-03-04,3.63,3.63,3.63,3.63,3.57,0.06000000000000005,1.68,10.0,10.16
