date,ic,rolling_mean_20,rolling_std_20
2015-02-02,-0.39999999999999997,,
2015-02-03,-0.39999999999999997,,
2015-02-04,-0.7999999999999999,,
2015-02-05,0.7999999999999999,,
2015-02-06,0.7999999999999999,0.0,0.7483314773547882
2015-02-09,-0.7999999999999999,-0.13333333333333333,0.7447594690010102
2015-02-10,-0.39999999999999997,-0.17142857142857143,0.6872997543873797
2015-02-11,-0.6000000000000001,-0.225,0.654107898482462
2015-02-12,-0.7999999999999999,-0.2888888888888889,0.6411794687223782
2015-02-13,-0.39999999999999997,-0.3,0.6055300708194983
2015-02-16,-0.19999999999999998,-0.2909090909090909,0.5752469825293227
2015-02-17,0.7999999999999999,-0.19999999999999998,0.6324555320336759
2015-02-25,-1.0,-0.26153846153846155,0.6449011055173002
2015-02-26,0.19999999999999998,-0.22857142857142856,0.6317601436628296
2015-02-27,0.6000000000000001,-0.1733333333333333,0.6452758730813918
2015-03-02,0.39999999999999997,-0.13749999999999998,0.6396613687465164
2015-03-03,-0.39999999999999997,-0.15294117647058822,0.6226130891842296
2015-03-04,1.0,-0.08888888888888888,0.6623388939640464
2015-03-05,-0.39999999999999997,-0.10526315789473684,0.6476227332933601
2015-03-06,0.6000000000000001,-0.06999999999999998,0.6497772897814985
2015-03-09,-0.7999999999999999,-0.09,0.6664122321490616
2015-03-10,0.39999999999999997,-0.04999999999999999,0.6708203932499369
2015-03-11,-0.39999999999999997,-0.02999999999999999,0.6530092285960276
2015-03-12,-0.19999999999999998,-0.07999999999999999,0.623740836869727
2015-03-13,-0.39999999999999997,-0.13999999999999996,0.5915190080142018
2015-03-16,-0.39999999999999997,-0.11999999999999997,0.5745478771676863
2015-03-17,-0.39999999999999997,-0.11999999999999997,0.5745478771676863
2015-03-18,-0.39999999999999997,-0.10999999999999999,0.5674504383644443
2015-03-19,0.0,-0.06999999999999998,0.5439620729812928
2015-03-20,-0.7999999999999999,-0.08999999999999998,0.5637281913158243
2015-03-23,-0.7999999999999999,-0.11999999999999997,0.5854373084329894
2015-03-24,-0.7999999999999999,-0.19999999999999996,0.5619514869490164
2015-03-25,0.7999999999999999,-0.10999999999999996,0.5711484275700928
2015-03-26,0.19999999999999998,-0.10999999999999999,0.5711484275700928
2015-03-27,0.7999999999999999,-0.09999999999999999,0.5857968032832221
2015-03-30,-0.39999999999999997,-0.13999999999999996,0.5771071231400176
2015-03-31,0.7999999999999999,-0.07999999999999999,0.6100905886143381
2015-04-01,-0.7999999999999999,-0.16999999999999998,0.5740896684041796
2015-04-02,-0.19999999999999998,-0.15999999999999998,0.5716089940731015
2015-04-03,0.39999999999999997,-0.16999999999999998,0.5592287922713414
2015-04-07,0.0,-0.13,0.5400779670809722
2015-04-08,0.7999999999999999,-0.11000000000000001,0.5674504383644442
2015-04-09,1.0,-0.04,0.6142175167599314
2015-04-10,-0.6000000000000001,-0.06000000000000001,0.626099033699941
2015-04-13,-0.6000000000000001,-0.07,0.6333702666977997
2015-04-14,0.7999999999999999,-0.010000000000000014,0.6568665649966713
2015-04-15,-1.0,-0.040000000000000015,0.688553021312008
2015-04-16,-0.39999999999999997,-0.040000000000000015,0.688553021312008
2015-04-17,0.19999999999999998,-0.030000000000000016,0.6906137621138552
2015-04-20,-0.19999999999999998,-1.6653345369377347e-17,0.6680687011630496
2015-04-21,0.39999999999999997,0.05999999999999998,0.6459590992429295
2015-04-22,-0.39999999999999997,0.07999999999999999,0.6237408368697269
2015-04-23,0.7999999999999999,0.07999999999999999,0.6237408368697269
2015-04-24,-0.39999999999999997,0.049999999999999975,0.6320393059063069
2015-04-27,0.39999999999999997,0.02999999999999998,0.6131025500208795
2015-04-28,-0.7999999999999999,0.009999999999999981,0.6340346993658942
2015-04-29,-0.39999999999999997,-0.05000000000000001,0.6117274935098057
2015-04-30,-0.7999999999999999,-0.05,0.6117274935098057
2015-05-04,-0.19999999999999998,-0.05000000000000001,0.6117274935098057
2015-05-05,0.39999999999999997,-0.05,0.6117274935098057
2015-05-06,0.39999999999999997,-0.030000000000000006,0.619932084565466
2015-05-07,0.39999999999999997,-0.05,0.5978029951853967
2015-05-08,0.39999999999999997,-0.08,0.555925023343029
2015-05-11,-0.39999999999999997,-0.06999999999999999,0.5478186407543053
2015-05-12,0.7999999999999999,5.551115123125783e-18,0.5656854249492379
2015-05-13,-0.7999999999999999,-0.07999999999999999,0.5596991673164582
2015-05-14,0.39999999999999997,-0.00999999999999999,0.5250563879492522
2015-05-15,0.6000000000000001,0.040000000000000015,0.53350874308428
2015-05-18,0.7999999999999999,0.07000000000000002,0.5592287922713414
2015-05-19,0.39999999999999997,0.1,0.5600751829230747
2015-05-20,-0.19999999999999998,0.07000000000000002,0.5592287922713414
2015-05-21,0.7999999999999999,0.13,0.5704107476657777
2015-05-22,1.0,0.14,0.5843574969233527
2015-05-25,-0.39999999999999997,0.14,0.5843574969233527
2015-05-26,-1.0,0.07000000000000002,0.6333702666977997
2015-05-27,0.0,0.11000000000000001,0.5999122742885872
2015-05-28,0.7999999999999999,0.16999999999999998,0.6061960773631963
2015-05-29,0.0,0.21000000000000002,0.5637281913158241
2015-06-01,-0.39999999999999997,0.20000000000000004,0.573080319529103
2015-06-02,-1.0,0.13,0.6300375928633564
2015-06-03,-0.6000000000000001,0.08,0.6469360986909554
2015-06-04,0.39999999999999997,0.08,0.6469360986909554
2015-06-05,-0.19999999999999998,0.05,0.6452253788202104
2015-06-08,0.7999999999999999,0.10999999999999999,0.6568665649966713
2015-06-09,0.39999999999999997,0.09,0.6406411262411887
