date,strategy_return,cum_return,benchmark_return,cum_benchmark
2015-02-02,0.027296815118276703,1.0272968151182766,0.0246391399002986,1.0246391399002985
2015-02-03,-0.014768398090550399,1.0121252867954553,-0.013378815693908176,1.0109306816948078
2015-02-04,-0.020543901650827798,0.9913322844452137,-0.013579180606859325,0.9972030713870585
2015-02-05,-0.00746376985459955,0.9839332084246802,-0.012649788962722676,0.9845886629810333
2015-02-06,0.04061129045218475,1.023892005737565,0.0259481301145426,1.0101368977173686
2015-02-09,0.005250293158789851,1.0292677389306284,0.009135524463736125,1.019365028058188
2015-02-10,-0.0006591834402084499,1.0285892626815845,0.005352058601840399,1.024820729425022
2015-02-11,-0.0004749553326856501,1.0281007287261308,0.006960266054389449,1.0319537543598736
2015-02-12,-0.004178634634312501,1.0238046714135138,-0.00038166704393220014,1.0315598916209723
2015-02-13,0.0001419837281003999,1.0239500350176078,0.0008340814632311498,1.032420296604786
2015-02-16,-0.00025040031810525006,1.0236936376031156,-0.0005757754571889001,1.0318258543364973
2015-02-17,-0.00199822921234345,1.0216480630719669,-0.016004814303063376,1.015311673144742
2015-02-25,0.016873559105221,1.0388869020489462,0.020752518062215022,1.036381946980456
2015-02-26,0.00913028768978425,1.048372238341802,0.007851137895129525,1.0445187245582226
2015-02-27,0.0005230947989794499,1.048920636407073,-0.0025951944663225998,1.0418079953442787
2015-03-02,-0.0280638527292687,1.019483882142254,-0.028930558852602123,1.0116679078218596
2015-03-03,0.0019445309782191002,1.0214663001328748,0.00283346115118185,1.0145344295365701
2015-03-04,-0.01144029046657555,1.0097804289575365,-0.0161065887133456,0.998193740744496
2015-03-05,-0.0022961063267373,1.0074618657259917,0.0005490847214543001,0.99874183367659
2015-03-06,0.04768607892189775,1.0555037717658038,0.0331465280810026,1.0318466579122232
2015-03-09,-0.02310540364129705,1.0311159310742433,-0.0133724964904112,1.0180482921006495
2015-03-10,0.0144879048826923,1.0460546406066755,0.009062908091278476,1.0272747702044407
2015-03-11,0.028614635168773998,1.0759871125142384,0.0287270971312333,1.056785392308569
2015-03-12,0.0056366921866356995,1.0820521206642681,0.0025903756478466,1.0595228634538052
2015-03-13,0.0246678065354024,1.1087439730380362,0.0351625994808078,1.09677844154219
2015-03-16,0.0076145895111413495,1.1171866032656728,0.0110663867397514,1.1089158159441177
2015-03-17,0.0220015249497136,1.1417664121909084,0.018315052502774175,1.1292256673342909
2015-03-18,-0.021349131427227303,1.1173906909978508,-0.020463600637721124,1.1061176442480978
2015-03-19,0.02204469814058015,1.1420232314859928,0.010612894661280774,1.1178567542894868
2015-03-20,0.0007703457295292499,1.1429029842053913,0.0051895773995029,1.1236579584374293
2015-03-23,-0.01728987106819175,1.1231423389650284,-0.0087063110579932,1.1138750427284834
2015-03-24,-0.02163182020251045,1.0988467258267098,-0.016010817876866125,1.096040992281771
2015-03-25,0.03966320374291235,1.1424305073954066,0.0308187308794963,1.129819584655799
2015-03-26,-0.013960099298897001,1.1264820640700774,-0.0126590502623078,1.1155171417463015
2015-03-27,0.0299509534915626,1.1602212759801196,0.02756464886096445,1.146265980056925
2015-03-30,-0.007780050239943749,1.1511946961635426,-0.008665419704140875,1.1363331042471534
2015-03-31,0.01249942491718785,1.1655839678333038,0.005880076120951,1.143014829398883
2015-04-01,-0.01243156683310255,1.1510939328375913,-0.0056415420319072505,1.136566463195736
2015-04-02,0.006226605431521801,1.1582613405719897,0.0065419547561819,1.144001829575356
2015-04-03,0.045096527728616054,1.2104949052340783,0.035670242579473474,1.1848086523476704
2015-04-07,0.0411864423058453,1.2603508838100212,0.0252343533823623,1.2147065325714919
2015-04-08,-0.00382573726145475,1.255529112471322,-0.013226746474205475,1.1986399172246074
2015-04-09,0.07899575671852894,1.3547105847931369,0.045712909884462326,1.2534332357446154
2015-04-10,0.00607585139318885,1.36294160498712,0.0128970874842247,1.2695988738416486
2015-04-13,-0.01594658885731095,1.341207335575867,-0.0015713718912229503,1.2676038618581655
2015-04-14,0.00987658107855,1.3544538785688278,0.0018538862805199748,1.2699538552667986
2015-04-15,0.047110562412158996,1.4182629625495355,0.07143828646676757,1.360677182578924
2015-04-16,-0.00738646151332535,1.4077870177608887,0.0008759126052118003,1.361869016874769
2015-04-17,-0.029210763245195746,1.3666644844854152,-0.02518694984143815,1.3275676902561355
2015-04-20,0.0576745969838352,1.4454863078402325,0.0539269921373662,1.3991594226503996
2015-04-21,0.024349563743016403,1.4806832688326457,0.019308890626476626,1.4261756389113605
2015-04-22,-0.023177515193766852,1.4463647098721206,-0.020456629303237127,1.3970008925448434
2015-04-23,-0.0111689905686069,1.4302102760687931,-0.02302477658756895,1.364835259101364
2015-04-24,0.00350132812655635,1.4352179115352828,0.00716827134247545,1.3746187685763802
2015-04-27,-0.00686597696226335,1.4253637384188538,-0.01202993980454735,1.3580821875362052
2015-04-28,0.00240482571993325,1.4287914897972636,0.005635333569233925,1.3657354336774066
2015-04-29,0.0063233724044002,1.4378262704754896,0.005703944371807025,1.3735255126177082
2015-04-30,0.0002578587745536501,1.4381970265956154,0.009739731057188599,1.3869032817107916
2015-05-04,-0.0478356449043411,1.3693999443289084,-0.048610501149536724,1.319485218140893
2015-05-05,-0.0008653034502704503,1.3682149978322804,0.0023202944284131753,1.3225468123409188
2015-05-06,0.0031371841874463,1.3725073402885068,-0.002212911242075075,1.3196201336317188
2015-05-07,0.02485555658237365,1.4066217741447709,0.019100895937785977,1.3448260604816256
2015-05-08,0.0176867329824641,1.4315003178713894,0.016776763149780227,1.3673878887759778
