datetime,symbol,mom_factor,position
2015-03-23,601318,0.1085176085176085,0.5
2015-03-23,858,0.0676829268292684,0.0
2015-03-23,600519,0.0641691115624765,0.0
2015-03-24,1,0.0960757780784844,0.5
2015-03-24,600519,0.0739367337672167,0.5
2015-03-24,601318,0.073031415748674,0.0
2015-03-24,858,0.0698957694665849,0.0
2015-03-25,601318,0.1013941698352343,0.5
2015-03-25,858,0.0849590937696662,0.5
2015-03-25,1,0.0795610425240054,0.0
2015-03-25,600519,0.0479760119940031,0.0
2015-03-26,601318,0.1182529872270292,0.5
2015-03-26,858,0.1001843884449906,0.5
2015-03-26,1,0.0740242261103634,0.0
2015-03-26,600519,0.0639131077286834,0.0
2015-03-27,601318,0.0913560016386727,0.5
2015-03-27,858,0.0817571690054912,0.5
2015-03-27,1,0.0771312584573749,0.0
2015-03-27,600519,0.0183340551465283,0.0
2015-03-30,601318,0.1437397034596375,0.5
2015-03-30,1,0.1160593792172739,0.5
2015-03-30,858,0.1074278698588091,0.0
2015-03-30,600519,0.031667992191454,0.0
2015-03-31,601318,0.1655941655941657,0.5
2015-03-31,1,0.1587743732590529,0.5
2015-03-31,858,0.1127113337507825,0.0
2015-03-31,600519,0.0538415900326312,0.0
2015-04-01,601318,0.1823655913978494,0.5
2015-04-01,1,0.1773743016759776,0.5
2015-04-01,858,0.1035337879727218,0.0
2015-04-01,600519,0.0435391189037865,0.0
2015-04-02,601318,0.1975254087494478,0.5
2015-04-02,1,0.1813031161473088,0.5
2015-04-02,858,0.1271239773442416,0.0
2015-04-02,600519,0.0488366907009587,0.0
2015-04-03,601318,0.2113424900310145,0.5
2015-04-03,1,0.1788732394366197,0.5
2015-04-03,858,0.1190773067331671,0.0
2015-04-03,600519,0.0718738265114531,0.0
2015-04-07,601318,0.221884498480243,0.5
2015-04-07,1,0.1887550200803214,0.5
2015-04-07,858,0.1367259350091969,0.0
2015-04-07,600519,0.0475847671153986,0.0
2015-04-08,1,0.301237964236589,0.5
2015-04-08,601318,0.2541630148992113,0.5
2015-04-08,858,0.1340269277845778,0.0
2015-04-08,600519,0.0887600029366419,0.0
2015-04-09,1,0.2978142076502732,0.5
2015-04-09,601318,0.2295652173913043,0.5
2015-04-09,858,0.1083894672382121,0.0
2015-04-09,600519,0.0417325096968825,0.0
2015-04-10,1,0.3553826199740595,0.5
2015-04-10,601318,0.2524068647969861,0.5
2015-04-10,858,0.1135817307692308,0.0
2015-04-10,600519,0.038777992416112,0.0
2015-04-13,1,0.336283185840708,0.5
2015-04-13,601318,0.2506265664160401,0.5
2015-04-13,858,0.1404460518384569,0.0
2015-04-13,600519,0.0736276503049666,0.0
2015-04-14,1,0.2800982800982801,0.5
2015-04-14,601318,0.1524294670846395,0.5
2015-04-14,858,0.1293356848912403,0.0
2015-04-14,600519,0.0631271795601737,0.0
2015-04-15,1,0.3087330873308733,0.5
2015-04-15,601318,0.1322282189668464,0.5
2015-04-15,858,0.1020881670533644,0.0
2015-04-15,600519,0.0454131333660381,0.0
2015-04-16,1,0.3260073260073259,0.5
2015-04-16,858,0.1844660194174754,0.5
2015-04-16,601318,0.1725548531052436,0.0
2015-04-16,600519,0.1344810896771071,0.0
2015-04-17,1,0.3491271820448878,0.5
2015-04-17,858,0.1931355439208841,0.5
2015-04-17,600519,0.1908763505402158,0.0
2015-04-17,601318,0.1874524714828898,0.0
2015-04-20,1,0.2880098887515452,0.5
2015-04-20,600519,0.2116949878623446,0.5
2015-04-20,858,0.156772334293948,0.0
2015-04-20,601318,0.0910760190965846,0.0
2015-04-21,600519,0.3196663367736463,0.5
2015-04-21,1,0.298159509202454,0.5
2015-04-21,858,0.2284408909194746,0.0
2015-04-21,601318,0.1289250092353158,0.0
2015-04-22,600519,0.3484602917341979,0.5
2015-04-22,1,0.337037037037037,0.5
2015-04-22,858,0.2383954154727794,0.0
2015-04-22,601318,0.1897338403041824,0.0
2015-04-23,1,0.3532401524777637,0.5
2015-04-23,600519,0.3281115879828324,0.5
2015-04-23,858,0.2366589327146173,0.0
2015-04-23,601318,0.1737629459148446,0.0
2015-04-24,600519,0.3018265157302588,0.5
2015-04-24,1,0.2919799498746867,0.5
2015-04-24,858,0.1519553072625699,0.0
2015-04-24,601318,0.0858511422254972,0.0
2015-04-27,1,0.3178391959798996,0.5
2015-04-27,600519,0.314785937056989,0.5
2015-04-27,858,0.1680767061477721,0.0
2015-04-27,601318,0.1253753753753754,0.0
2015-04-28,1,0.2902055622732769,0.5
2015-04-28,600519,0.2597939589319502,0.5
2015-04-28,858,0.1119733924611974,0.0
2015-04-28,601318,0.0763413755851638,0.0
2015-04-29,1,0.2788461538461539,0.5
2015-04-29,600519,0.2746657283603095,0.5
2015-04-29,858,0.128868880135059,0.0
2015-04-29,601318,0.1196172248803828,0.0
2015-04-30,600519,0.2912813272149663,0.5
2015-04-30,1,0.265717674970344,0.5
2015-04-30,858,0.1247191011235955,0.0
2015-04-30,601318,0.1200436522371772,0.0
2015-05-04,600519,0.3103472714386959,0.5
2015-05-04,1,0.2661870503597123,0.5
2015-05-04,601318,0.159409594095941,0.0
2015-05-04,858,0.1379117811278614,0.0
2015-05-05,600519,0.2242853139013452,0.5
2015-05-05,1,0.2102747909199525,0.5
2015-05-05,601318,0.0943672275054865,0.0
2015-05-05,858,0.0774373259052925,0.0
2015-05-06,600519,0.209318306761957,0.5
2015-05-06,1,0.1306306306306304,0.5
2015-05-06,601318,0.0931058990760482,0.0
2015-05-06,858,0.0253505933117585,0.0
2015-05-07,600519,0.1976399190829401,0.5
2015-05-07,1,0.0581395348837208,0.5
2015-05-07,601318,0.0562543675751223,0.0
2015-05-07,858,0.0280626011872637,0.0
2015-05-08,600519,0.270840515755361,0.5
2015-05-08,858,0.0823204419889502,0.5
2015-05-08,601318,0.0671852899575671,0.0
2015-05-08,1,0.0663157894736843,0.0
2015-05-11,600519,0.2858323576003856,0.5
2015-05-11,858,0.0809498111171074,0.5
2015-05-11,601318,0.0297459893048126,0.0
2015-05-11,1,-0.0200956937799041,0.0
2015-05-12,600519,0.2478019748410658,0.5
2015-05-12,858,0.059196617336152,0.5
2015-05-12,601318,0.0317301269205076,0.0
2015-05-12,1,-0.0350047303689688,0.0
2015-05-13,600519,0.2446780024099613,0.5
2015-05-13,858,0.0478917230609057,0.5
2015-05-13,601318,0.0275416524991498,0.0
2015-05-13,1,-0.0259117082533588,0.0
2015-05-14,600519,0.2221626332372461,0.5
2015-05-14,858,0.0363157894736843,0.5
2015-05-14,601318,0.0204290091930541,0.0
2015-05-14,1,-0.0460526315789473,0.0
2015-05-15,600519,0.0835568015602143,0.5
2015-05-15,858,-0.0665380906460945,0.5
2015-05-15,601318,-0.0700919758959721,0.0
2015-05-15,1,-0.0911602209944751,0.0
2015-05-18,600519,0.0369425996204935,0.5
2015-05-18,858,-0.0653339834227205,0.5
2015-05-18,601318,-0.0835734870317003,0.0
2015-05-18,1,-0.1035120147874307,0.0
2015-05-19,600519,0.0684108184550114,0.5
2015-05-19,601318,-0.001346348030966,0.5
2015-05-19,858,-0.018435475834579,0.0
2015-05-19,1,-0.0441458733205373,0.0
2015-05-20,600519,-0.0135526033854724,0.5
2015-05-20,601318,-0.0274869109947644,0.5
2015-05-20,1,-0.049149338374291,0.0
2015-05-20,858,-0.0841469084146909,0.0
2015-05-21,600519,-0.020066889632107,0.5
2015-05-21,601318,-0.0386705017577501,0.5
2015-05-21,858,-0.0564553447478018,0.0
2015-05-21,1,-0.0683287165281625,0.0
2015-05-22,600519,0.077395378898045,0.5
2015-05-22,601318,0.0163398692810456,0.5
2015-05-22,1,-0.0234741784037558,0.0
2015-05-22,858,-0.0257973733583489,0.0
2015-05-25,600519,0.1096292344625233,0.5
2015-05-25,601318,0.0794027824906684,0.5
2015-05-25,1,0.0290979631425798,0.0
2015-05-25,858,0.0261881668283219,0.0
2015-05-26,600519,0.1162865922691249,0.5
2015-05-26,601318,0.0793862575050032,0.5
2015-05-26,858,0.0328343795267986,0.0
2015-05-26,1,0.0123927550047664,0.0
2015-05-27,600519,0.1170449488206499,0.5
2015-05-27,601318,0.0578788892606223,0.5
2015-05-27,858,0.0543369890329012,0.0
2015-05-27,1,-0.0131208997188378,0.0
2015-05-28,600519,0.0453817699994478,0.5
2015-05-28,858,0.0319042871385841,0.5
2015-05-28,601318,-0.0269559500328731,0.0
2015-05-28,1,-0.0695488721804511,0.0
2015-05-29,600519,0.0459788967251653,0.5
2015-05-29,858,0.0274725274725275,0.5
2015-05-29,601318,-0.0363754465735627,0.0
2015-05-29,1,-0.0824742268041237,0.0
2015-06-01,600519,0.0646871112553411,0.5
2015-06-01,858,0.0618253189401374,0.5
2015-06-01,601318,-0.0337364735837046,0.0
2015-06-01,1,-0.0378787878787879,0.0
2015-06-02,858,0.1318510858324715,0.5
2015-06-02,600519,0.1065071825101586,0.5
2015-06-02,601318,0.0026737967914438,0.0
2015-06-02,1,-0.0049358341559724,0.0
2015-06-03,858,0.1283534981588636,0.5
2015-06-03,600519,0.0829071485396069,0.5
2015-06-03,1,0.0079681274900398,0.0
2015-06-03,601318,-0.0341352405721716,0.0
2015-06-04,858,0.1081364829396325,0.5
2015-06-04,600519,0.0542199200495467,0.5
2015-06-04,1,0.0449550449550451,0.0
2015-06-04,601318,0.0112471055243135,0.0
2015-06-05,858,0.0995405819295558,0.5
2015-06-05,1,0.0286278381046396,0.5
2015-06-05,601318,0.0006626905235254,0.0
2015-06-05,600519,-0.0013021539797081,0.0
2015-06-08,858,0.1163255117324013,0.5
2015-06-08,1,0.0791015625,0.5
2015-06-08,601318,0.0370009737098344,0.0
2015-06-08,600519,0.0279607906154588,0.0
2015-06-09,858,0.0998003992015967,0.5
2015-06-09,1,0.0637254901960784,0.5
2015-06-09,600519,0.0181029810298103,0.0
2015-06-09,601318,0.0048559404337973,0.0
2015-06-10,858,0.1236959761549927,0.5
2015-06-10,1,0.0502463054187192,0.5
2015-06-10,600519,0.0181251008444038,0.0
2015-06-10,601318,0.0165453342157511,0.0
2015-06-11,858,0.1427120365667851,0.5
2015-06-11,601318,0.0460460460460461,0.5
2015-06-11,1,0.03743842364532,0.0
2015-06-11,600519,0.0344468213482529,0.0
2015-06-12,858,0.2200413223140496,0.5
2015-06-12,600519,0.0849316609483097,0.5
2015-06-12,1,0.0688956433637286,0.0
2015-06-12,601318,0.0682128240109141,0.0
2015-06-15,858,0.2952529994783515,0.5
2015-06-15,600519,0.0818894035569279,0.5
2015-06-15,601318,0.0555555555555555,0.0
2015-06-15,1,0.0484536082474227,0.0
2015-06-16,858,0.2177664974619289,0.5
2015-06-16,600519,0.0156077652768586,0.5
2015-06-16,601318,0.0124705089315806,0.0
2015-06-16,1,0.0030120481927711,0.0
2015-06-17,858,0.2604060913705583,0.5
2015-06-17,601318,0.0164872139973082,0.5
2015-06-17,600519,0.0045071952212869,0.0
2015-06-17,1,-0.0009940357852882,0.0
2015-06-18,858,0.1402648357037763,0.5
2015-06-18,1,-0.0257680872150644,0.5
2015-06-18,601318,-0.0305851063829786,0.0
2015-06-18,600519,-0.0565273037542662,0.0
2015-06-19,858,0.0625902744342803,0.5
2015-06-19,1,-0.1009615384615385,0.5
2015-06-19,601318,-0.1016077170418006,0.0
2015-06-19,600519,-0.1469706058788242,0.0
2015-06-23,858,0.1394139886578449,0.5
2015-06-23,601318,-0.0782772712983338,0.5
2015-06-23,1,-0.0999057492931195,0.0
2015-06-23,600519,-0.1205769230769231,0.0
2015-06-24,858,0.2014960261804581,0.5
