datetime,symbol,close,return,mom_factor,future_return
2015-01-05,000001,8.46,,,-0.015366430260047359
2015-01-06,000001,8.33,-0.015366430260047359,,-0.019207683073229287
2015-01-07,000001,8.17,-0.019207683073229287,,-0.033047735618115026
2015-01-08,000001,7.9,-0.033047735618115026,,0.0075949367088608
2015-01-09,000001,7.96,0.0075949367088608,,-0.02010050251256279
2015-01-12,000001,7.8,-0.02010050251256279,,-0.0064102564102563875
2015-01-13,000001,7.75,-0.0064102564102563875,,0.00903225806451613
2015-01-14,000001,7.82,0.00903225806451613,,0.03580562659846542
2015-01-15,000001,8.1,0.03580562659846542,,0.0012345679012344402
2015-01-16,000001,8.11,0.0012345679012344402,,-0.09987669543773114
2015-01-19,000001,7.3,-0.09987669543773114,,0.0
2015-01-20,000001,7.3,0.0,,0.042465753424657526
2015-01-21,000001,7.61,0.042465753424657526,,-0.007884362680683377
2015-01-22,000001,7.55,-0.007884362680683377,,0.0066225165562914245
2015-01-23,000001,7.6,0.0066225165562914245,,-0.003947368421052588
2015-01-26,000001,7.57,-0.003947368421052588,,-0.023778071334214057
2015-01-27,000001,7.39,-0.023778071334214057,,0.004059539918809252
2015-01-28,000001,7.42,0.004059539918809252,,-0.010781671159029615
2015-01-29,000001,7.34,-0.010781671159029615,,0.0013623978201635634
2015-01-30,000001,7.35,0.0013623978201635634,,-0.020408163265306034
2015-02-02,000001,7.2,-0.020408163265306034,-0.14893617021276606,0.023611111111111027
2015-02-03,000001,7.37,0.023611111111111027,-0.11524609843937572,-0.01763907734056991
2015-02-04,000001,7.24,-0.01763907734056991,-0.11383108935128516,0.005524861878453136
2015-02-05,000001,7.28,0.005524861878453136,-0.07848101265822782,-0.020604395604395642
2015-02-06,000001,7.13,-0.020604395604395642,-0.10427135678391963,0.0014025245441795509
2015-02-09,000001,7.14,0.0014025245441795509,-0.08461538461538465,0.0182072829131652
2015-02-10,000001,7.27,0.0182072829131652,-0.06193548387096781,-0.0027510316368637433
2015-02-11,000001,7.25,-0.0027510316368637433,-0.07289002557544766,0.009655172413793212
2015-02-12,000001,7.32,0.009655172413793212,-0.09629629629629621,0.006830601092896238
2015-02-13,000001,7.37,0.006830601092896238,-0.09124537607891481,-0.0027137042062416183
2015-02-16,000001,7.35,-0.0027137042062416183,0.006849315068493178,0.0054421768707482165
2015-02-17,000001,7.39,0.0054421768707482165,0.012328767123287676,-0.013531799729363914
2015-02-25,000001,7.29,-0.013531799729363914,-0.042049934296977676,0.019204389574760006
2015-02-26,000001,7.43,0.019204389574760006,-0.015894039735099397,-0.0053835800807536804
2015-02-27,000001,7.39,-0.0053835800807536804,-0.02763157894736845,0.0027063599458727605
2015-03-02,000001,7.41,0.0027063599458727605,-0.021136063408190298,-0.031039136302294268
2015-03-03,000001,7.18,-0.031039136302294268,-0.02841677943166443,-0.0027855153203342198
2015-03-04,000001,7.16,-0.0027855153203342198,-0.035040431266846306,-0.013966480446927498
2015-03-05,000001,7.06,-0.013966480446927498,-0.038147138964577665,0.0056657223796034994
2015-03-06,000001,7.1,0.0056657223796034994,-0.03401360544217691,0.05211267605633796
2015-03-09,000001,7.47,0.05211267605633796,0.03749999999999987,-0.02677376171352075
2015-03-10,000001,7.27,-0.02677376171352075,-0.013568521031207648,0.00687757909215958
2015-03-11,000001,7.32,0.00687757909215958,0.011049723756906049,0.05327868852459017
2015-03-12,000001,7.71,0.05327868852459017,0.05906593406593408,0.025940337224384047
2015-03-13,000001,7.91,0.025940337224384047,0.10939691444600275,0.029077117572692934
2015-03-16,000001,8.14,0.029077117572692934,0.14005602240896375,-0.0012285012285011554
2015-03-17,000001,8.13,-0.0012285012285011554,0.11829436038514451,0.007380073800737907
2015-03-18,000001,8.19,0.007380073800737907,0.1296551724137931,-0.020757020757020794
2015-03-19,000001,8.02,-0.020757020757020794,0.09562841530054644,0.008728179551122262
2015-03-20,000001,8.09,0.008728179551122262,0.09769335142469471,0.007416563658838138
2015-03-23,000001,8.15,0.007416563658838138,0.10884353741496611,-0.00613496932515345
2015-03-24,000001,8.1,-0.00613496932515345,0.09607577807848444,-0.02839506172839501
2015-03-25,000001,7.87,-0.02839506172839501,0.07956104252400542,0.013977128335451061
2015-03-26,000001,7.98,0.013977128335451061,0.07402422611036341,-0.0025062656641604564
2015-03-27,000001,7.96,-0.0025062656641604564,0.0771312584573749,0.03894472361809043
2015-03-30,000001,8.27,0.03894472361809043,0.11605937921727394,0.006045949214026791
2015-03-31,000001,8.32,0.006045949214026791,0.15877437325905297,0.013221153846153744
2015-04-01,000001,8.43,0.013221153846153744,0.17737430167597767,-0.010676156583629859
2015-04-02,000001,8.34,-0.010676156583629859,0.18130311614730887,0.003597122302158251
2015-04-03,000001,8.37,0.003597122302158251,0.1788732394366197,0.0609318996415773
2015-04-07,000001,8.88,0.0609318996415773,0.1887550200803214,0.06531531531531543
2015-04-08,000001,9.46,0.06531531531531543,0.301237964236589,0.004228329809724984
2015-04-09,000001,9.5,0.004228329809724984,0.2978142076502732,0.09999999999999987
2015-04-10,000001,10.45,0.09999999999999987,0.3553826199740595,0.011483253588516762
2015-04-13,000001,10.57,0.011483253588516762,0.33628318584070804,-0.014191106906338735
2015-04-14,000001,10.42,-0.014191106906338735,0.2800982800982801,0.021113243761996303
2015-04-15,000001,10.64,0.021113243761996303,0.30873308733087335,0.020676691729323293
2015-04-16,000001,10.86,0.020676691729323293,0.32600732600732596,-0.0036832412523019054
2015-04-17,000001,10.82,-0.0036832412523019054,0.3491271820448878,-0.0369685767097967
2015-04-20,000001,10.42,-0.0369685767097967,0.2880098887515452,0.015355086372360827
2015-04-21,000001,10.58,0.015355086372360827,0.29815950920245404,0.023629489603024467
2015-04-22,000001,10.83,0.023629489603024467,0.337037037037037,-0.0166204986149584
2015-04-23,000001,10.65,-0.0166204986149584,0.35324015247776375,-0.031924882629107976
2015-04-24,000001,10.31,-0.031924882629107976,0.2919799498746867,0.01745877788554795
2015-04-27,000001,10.49,0.01745877788554795,0.3178391959798996,0.01715919923736897
2015-04-28,000001,10.67,0.01715919923736897,0.2902055622732769,-0.002811621368322359
2015-04-29,000001,10.64,-0.002811621368322359,0.27884615384615397,0.0028195488721804995
2015-04-30,000001,10.67,0.0028195488721804995,0.26571767497034404,-0.010309278350515427
2015-05-04,000001,10.56,-0.010309278350515427,0.26618705035971235,-0.040719696969696906
2015-05-05,000001,10.13,-0.040719696969696906,0.2102747909199525,-0.008884501480750373
2015-05-06,000001,10.04,-0.008884501480750373,0.1306306306306304,-0.0029880478087648266
2015-05-07,000001,10.01,-0.0029880478087648266,0.05813953488372081,0.011988011988012026
2015-05-08,000001,10.13,0.011988011988012026,0.06631578947368433,0.010858835143139123
2015-05-11,000001,10.24,0.010858835143139123,-0.020095693779904167,-0.003906250000000111
2015-05-12,000001,10.2,-0.003906250000000111,-0.035004730368968895,-0.004901960784313597
2015-05-13,000001,10.15,-0.004901960784313597,-0.025911708253358867,0.0
2015-05-14,000001,10.15,0.0,-0.046052631578947345,-0.02758620689655189
2015-05-15,000001,9.87,-0.02758620689655189,-0.09116022099447518,-0.01722391084093211
2015-05-18,000001,9.7,-0.01722391084093211,-0.10351201478743077,0.026804123711340333
2015-05-19,000001,9.96,0.026804123711340333,-0.04414587332053732,0.010040160642570184
2015-05-20,000001,10.06,0.010040160642570184,-0.04914933837429103,0.0029821073558646827
2015-05-21,000001,10.09,0.0029821073558646827,-0.06832871652816253,0.0307234886025769
2015-05-22,000001,10.4,0.0307234886025769,-0.023474178403755874,0.02019230769230762
2015-05-25,000001,10.61,0.02019230769230762,0.02909796314257984,0.0009425070688029447
